MAPID,LATITUDE,LONGITUDE,NAME,LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME
DFPB0043,49.278900699683497,-123.137935000057000,Fountain location:English Bay Beach Park - concessions,concessions,Parks,spring to fall,,
DFPB0044,49.254842000084103,-123.029979000388000,Fountain location:Falaise Park,in front of wading pool,Parks,spring to fall,,
DFPB0045,49.206419999914900,-123.150808000515990,Fountain location:Fraser River Park - South west ,,Parks,spring to fall,,Fraser River Park - drinking fountain - 2007.JPG
DFPB0046,49.207130000236901,-123.149336999482000,Fountain location:Fraser River Park - park entrance by Angus Dr,near park entrance by Angus Dr,Parks,spring to fall,,Fraser River Park - drinking fountain - 2007.JPG
DFPB0049,49.208210599984596,-123.045695000176000,Fountain location:Fraserview Golf Course - 6th tee,6th tee,Parks,spring to fall,,
DFPB0047,49.211296200266602,-123.042283000584010,Fountain location:Fraserview Golf Course - West of kerr st. , West of kerr st. ,Parks,spring to fall,,
DFPB0048,49.213934699696303,-123.051533000521000,Fountain location:Fraserview Golf Course - clubhouse building ,clubhouse building ,Parks,spring to fall,,
DFPB0050,49.212392099797398,-123.051395000471000,Fountain location:Fraserview Golf Course - driving range ,driving range ,Parks,spring to fall,,
DFPB0051,49.268388999993100,-123.058428000084010,Fountain location:Garden Park,N-side of field house,Parks,spring to fall,,
DFPB0052,49.236498000170599,-123.031411000625990,Fountain location:Gaston Park,near basketball court,Parks,spring to fall,,Gaston Park - drinking fountain - 2005.JPG
DFPB0053,49.212416999877497,-123.093601999410000,Fountain location:George Park,southeast corner of park,Parks,spring to fall,,George Park - drinking fountain - 2005.JPG
DFPB0054,49.271801999976802,-123.129792999387010,Fountain location:George Wainborn Park,NE corner near seawall,Parks,spring to fall,,
DFPB0056,49.273607886678299,-123.070409608867000,Fountain location:Grandview Park - South of playground,By the Playground,Parks,spring to fall,,
DFPB0055,49.273587400396202,-123.070857985288000,Fountain location:Grandview Park - West of Stage,Close to the Stage,Parks,spring to fall,,
DFPB0057,49.267127500233002,-123.137756000030000,Fountain location:Granville Loop Park,,Parks,,,
DFPB0058,49.240977000100500,-123.084994000077000,Fountain location:Grays Park,front of wading pool,Parks,spring to fall,,
DFPB0059,49.264220000239000,-123.095575000183000,Fountain location:Guelph Park,w-side of tennis courts,Parks,spring to fall,,
DFPB0062,49.290001000049301,-123.121693999818010,Fountain location:Harbour Green Park - In front of washrooms,near spray pool,Parks,spring to fall,,
DFPB0060,49.291227999815803,-123.123269999934000,Fountain location:Harbour Green Park - Viewpoint,"west, by seawall",Parks,spring to fall,,
DFPB0061,49.290538999652703,-123.123180000357000,Fountain location:Harbour Green Park - foot of Jervis Mews,foot of Jervis Mews,Parks,spring to fall,,
DFPB0064,49.280368999745903,-123.040624000508000,Fountain location:Hastings Community Park - SE of tennis courts,besides path leading to spray,Parks,spring to fall,,Hastings Community Park - drinking fountain - 2005.JPG
DFPB0063,49.280379000053600,-123.038221000437010,Fountain location:Hastings Community Park - South of wading pool,besides wading pool,Parks,spring to fall,,Hastings Community Park - drinking fountain - 2005.JPG
DFPB0065,49.283143999894300,-123.042959000440010,Fountain location:Hastings Park - Italian gardens,near skate park,Parks,spring to fall,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG
DFPB0070,49.282676516716101,-123.033258474077000,Fountain location:Hastings Park -Plateau Sport Parks / Empire Fields,empire field - soccer fields,Parks,,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG
DFPB0068,49.281735950430203,-123.034387066452000,Fountain location:Hastings Park -Plateau Sport Parks / Empire Fields,East of basketball courts,Parks,,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG
DFPB0067,49.283708217798598,-123.033390574515000,Fountain location:Hastings Park -Plateau Sport Parks / Empire Fields,north of empire field,Parks,spring to fall,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG
DFPB0066,49.282562999772701,-123.034263999797010,Fountain location:Hastings Park -Plateau Sport Parks / Empire Fields,field house at empire field,Parks,spring to fall,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG
